Air Pollutant Index Api,Selected Stations,Year,Value
Min.,"Seberang Jaya, Pulau Pinang",2004,8
Min.,"Seberang Jaya, Pulau Pinang",2005,10
Min.,"Seberang Jaya, Pulau Pinang",2006,6
Min.,"Seberang Jaya, Pulau Pinang",2007,8
Min.,"Seberang Jaya, Pulau Pinang",2008,6
Min.,"Seberang Jaya, Pulau Pinang",2009,5
Min.,"Seberang Jaya, Pulau Pinang",2010,28
Min.,"Seberang Jaya, Pulau Pinang",2011,6
Min.,"Seberang Jaya, Pulau Pinang",2012,6
Min.,"Seberang Jaya, Pulau Pinang",2013,27
Min.,"Seberang Jaya, Pulau Pinang",2014,14
Min.,"Seberang Jaya, Pulau Pinang",2015,9
Min.,"Seberang Jaya, Pulau Pinang",2016,7
Min.,"Seberang Jaya, Pulau Pinang",2017,10
Min.,"Seberang Jaya, Pulau Pinang",2018,28
Min.,"Seberang Jaya, Pulau Pinang",2019,28
Min.,"Kuching, Sarawak",2000,1
Min.,"Kuching, Sarawak",2001,1
Min.,"Kuching, Sarawak",2002,1
Min.,"Kuching, Sarawak",2003,6
Min.,"Kuching, Sarawak",2004,17
Min.,"Kuching, Sarawak",2005,23
Min.,"Kuching, Sarawak",2006,5
Min.,"Kuching, Sarawak",2007,6
Min.,"Kuching, Sarawak",2008,5
Min.,"Kuching, Sarawak",2009,10
Min.,"Kuching, Sarawak",2010,16
Min.,"Kuching, Sarawak",2011,4
Min.,"Kuching, Sarawak",2012,16
Min.,"Kuching, Sarawak",2013,17
Min.,"Kuching, Sarawak",2014,11
Min.,"Kuching, Sarawak",2015,5
Min.,"Kuching, Sarawak",2016,6
Min.,"Kuching, Sarawak",2017,8
Min.,"Kuching, Sarawak",2018,9
Min.,"Kuching, Sarawak",2019,17
Min.,"Kota Kinabalu, Sabah ",2000,1
Min.,"Kota Kinabalu, Sabah ",2001,1
Min.,"Kota Kinabalu, Sabah ",2002,8
Min.,"Kota Kinabalu, Sabah ",2003,2
Min.,"Kota Kinabalu, Sabah ",2004,1
Min.,"Kota Kinabalu, Sabah ",2005,2
Min.,"Kota Kinabalu, Sabah ",2006,2
Min.,"Kota Kinabalu, Sabah ",2007,3
Min.,"Kota Kinabalu, Sabah ",2008,1
Min.,"Kota Kinabalu, Sabah ",2009,1
Min.,"Kota Kinabalu, Sabah ",2010,10
Min.,"Kota Kinabalu, Sabah ",2011,2
Min.,"Kota Kinabalu, Sabah ",2012,1
Min.,"Kota Kinabalu, Sabah ",2013,8
Min.,"Kota Kinabalu, Sabah ",2014,3
Min.,"Kota Kinabalu, Sabah ",2015,5
Min.,"Kota Kinabalu, Sabah ",2016,3
Min.,"Kota Kinabalu, Sabah ",2017,0
Min.,"Kota Kinabalu, Sabah ",2018,9
Min.,"Kota Kinabalu, Sabah ",2019,10
Min.,"Miri, Sarawak",2000,3
Min.,"Miri, Sarawak",2001,2
Min.,"Miri, Sarawak",2002,5
Min.,"Miri, Sarawak",2003,3
Min.,"Miri, Sarawak",2004,2
Min.,"Miri, Sarawak",2005,2
Min.,"Miri, Sarawak",2006,1
Min.,"Miri, Sarawak",2007,6
Min.,"Miri, Sarawak",2008,6
Min.,"Miri, Sarawak",2009,6
Min.,"Miri, Sarawak",2010,17
Min.,"Miri, Sarawak",2011,4
Min.,"Miri, Sarawak",2012,5
Min.,"Miri, Sarawak",2013,18
Min.,"Miri, Sarawak",2014,2
Min.,"Miri, Sarawak",2015,4
Min.,"Miri, Sarawak",2016,3
Min.,"Miri, Sarawak",2017,8
Min.,"Miri, Sarawak",2018,7
Min.,"Miri, Sarawak",2019,19
